Currency,Date,Rate
NOK,2021-04-19,0.12041580000000005
NZD,2021-04-19,0.7180437
PEN,2021-04-19,0.2752127
PLN,2021-04-19,0.2642782
RUB,2021-04-19,0.013118200000000002
RWF,2021-04-19,0.0009979
SAR,2021-04-19,0.266667
SEK,2021-04-19,0.119125
SGD,2021-04-19,0.7510060000000001
sll,2021-04-19,9.784790000000001e-05
THB,2021-04-19,0.03202463
TZS,2021-04-19,0.00043117
UGX,2021-04-19,0.000276348
USD,2021-04-19,1.0
XAF,2021-04-19,0.001833085
XOF,2021-04-19,0.001833085
ZAR,2021-04-19,0.0704779
ZMK,2021-04-19,0.0449011
ZMW,2021-04-19,0.0449011
AED,2021-04-20,0.272294
ARS,2021-04-20,0.0107625
AUD,2021-04-20,0.7803176
BRL,2021-04-20,0.1803411
CAD,2021-04-20,0.800375
CHF,2021-04-20,1.0928639999999998
CZK,2021-04-20,0.04656969999999999
DKK,2021-04-20,0.162254
ETB,2021-04-20,0.023902
EUR,2021-04-20,1.2069
GBP,2021-04-20,1.3988
GHS,2021-04-20,0.173406
ILS,2021-04-20,0.307477
INR,2021-04-20,0.0133803
JPY,2021-04-20,0.0092234
KES,2021-04-20,0.00925101
MAD,2021-04-20,0.11229949999999997
MUR,2021-04-20,0.0247403
MWK,2021-04-20,0.00127188
MXN,2021-04-20,0.0504328
MYR,2021-04-20,0.243062
NGN,2021-04-20,0.002631578947
NOK,2021-04-20,0.12089200000000001
NZD,2021-04-20,0.722353
PEN,2021-04-20,0.27221259999999997
